! ("！")
" ("“”")
# ("＃")
$ ("＄")
% ("％")
& ("＆")
' ("’")
( ("（")
) ("）")
* ("＊")
+ ("＋")
, ("，")
. ("。")
/ ("／")
0 ("0")
1 ("1")
2 ("2")
3 ("3")
4 ("4")
5 ("5")
6 ("6")
7 ("7")
8 ("8")
9 ("9")
: ("：")
; ("；")
< ("《")
= ("＝")
> ("》")
? ("？")
@ ("＠")
\ ("＼")
^ ("＾")
_ ("＿")
` ("‘")
a ("一")
aa ("一下")
aaam ("万无一失")
aaav ("可歌可泣")
aaax ("天下无难事")
aacf ("百无聊赖")
aacm ("无可奉告")
aadj ("无可挽回")
aadt ("殊死搏斗")
aaeu ("平型关")
aaez ("一开始")
aafk ("可可西里山")
aafy ("百无禁忌")
aaga ("一天天")
aagk ("无可厚非")
aagl ("平顶山")
aagn ("无可奈何" "无恶不作")
aahk ("一天到晚")
aai ("亍")
aaid ("天下事")
aaim ("副政委")
aaiy ("一下子")
aajj ("一再嘱咐")
aako ("死于非命")
aakr ("一无是处")
aaks ("无可非议")
aalr ("无可置疑")
aanl ("无副作用")
aano ("一百分")
aanr ("无与伦比")
aanu ("一百米")
aape ("一无所获")
aapg ("一无所有")
aapm ("一无所知")
aard ("无可比拟")
aarr ("形形色色")
aars ("无可争辩")
aasx ("无可辩驳")
aats ("无形资产" "无政府主义")
aatt ("干干净净" "无政府状态")
aauu ("万平米")
aavg ("万万没有想到")
aavi ("下一步")
aavn ("下一代")
aavo ("下一个")
aavt ("再一次")
aavv ("万丈深渊")
aawo ("百万富翁")
aawv ("万恶之源")
aaxb ("开天辟地")
aayn ("下一阶段")
ab ("一起")
abas ("无动于衷")
abbc ("平均增长速度")
abbt ("平均工资")
abby ("天塌地陷")
abco ("平均寿命")
abdf ("平均指标")
abdu ("丁二烯")
abdz ("一二级")
abgh ("无巧不成书")
abgm ("一去不复返")
abis ("开工率")
abjf ("吞云吐雾")
abka ("平均水平")
abks ("平均日产量")
abku ("一夫当关")
ablw ("开工典礼")
abmf ("与去年相比")
abml ("与去年同期相比")
abmm ("平均每年增长")
abmv ("平均气温" "平均利润")
abnm ("一鼓作气")
abnw ("无地自容")
abon ("正规化")
aboo ("歌功颂德")
abpw ("无功受禄")
abre ("无功负荷")
abrn ("平均值")
abrs ("一元论")
abru ("平均数")
abrz ("一专多能")
absm ("一元方程" "无土育秧")
abss ("平均主义")
abuv ("一塌糊涂")
abuw ("画地为牢")
abvb ("死去活来")
abwt ("平均速度")
abxr ("一块儿")
abyd ("副教授")
abzf ("歼击机")
abzi ("万元以上")
abzo ("平均收入")
ac ("平静")
acab ("可耻下场")
acak ("天王星")
acan ("无毒副作用")
acbm ("开玩笑")
acbr ("天长地久")
acdc ("副理事长")
acdl ("万寿山")
acgw ("天理不容")
achd ("更长的")
acra ("正三角形")
acrf ("列表框")
acsm ("无理方程")
acuo ("一班人")
acvt ("干球温度")
ad ("于")
adaf ("无拘无束")
adag ("再接再厉")
adah ("一事无成")
adat ("万事开头难")
adbz ("可持续")
adcn ("刑事责任")
adea ("亚的斯亚贝巴")
adeu ("下拉菜单")
adgb ("开拓者" "万事大吉")
adgc ("干扰素")
